tag_name,tag,opacity,fill_h_cos,fill_h_sin,fill_s_n,fill_l_n,fill_luv_l,fill_luv_u,fill_luv_v,stroke_h_cos,stroke_h_sin,stroke_s_n,stroke_l_n,stroke_luv_l,stroke_luv_u,stroke_luv_v,stroke_width,bbox_left_n,bbox_right_n,bbox_top_n,bbox_bottom_n,bbox_center_x_n,bbox_center_y_n,bbox_width_n,bbox_height_n,bbox_fill_area,bbox_stroke_area,spatial_mds_1,spatial_mds_2
svg/g_1/path_11,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.0,0.044478527607361956,0.010695187165775333,1.0,0.022239263803680968,0.5053475935828878,0.04447852760736198,0.9893048128342249,0.0,0.15275614346240818,1.0,1.0
svg/g_1/path_10,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.18098159509202447,0.22546012269938648,0.021390374331550666,1.0,0.20322085889570554,0.5106951871657754,0.04447852760736198,0.9786096256684496,0.0,0.1525185551016124,0.82357898502629,0.30358233959354863
svg/g_1/path_9,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.3604294478527607,0.4049079754601226,0.058823529411764594,1.0,0.38266871165644173,0.5294117647058825,0.044478527607361935,0.9411764705882357,0.0,0.15166891699356164,0.6293699868820725,0.04098601477145542
svg/g_1/path_8,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.5414110429447853,0.5858895705521472,0.0,1.0,0.5636503067484662,0.5000000000000001,0.044478527607361935,1.0000000000000002,0.0,0.15299151480289175,0.4416449392762156,0.4948776881217883
svg/g_1/path_7,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.7223926380368098,0.7668711656441719,0.08021390374331552,1.0,0.7446319018404909,0.5401069518716579,0.04447852760736202,0.9197860962566846,0.0,0.15117024299120999,0.24726049309508366,0.6495226934206707
svg/g_1/path_6,0.75,0.7071067811865476,0.038299131430802935,0.3080825490934995,0.9905660377358493,0.5843137254901961,0.6827638379894618,0.2581034005525482,0.2360790193363258,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.901840490797546,0.9463190184049081,0.07486631016042773,1.0,0.924079754601227,0.5374331550802139,0.04447852760736202,0.9251336898395726,0.0,0.1512958387897999,0.06269028704374664,0.9049826068946812
svg/g/path_5,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.055214723926380355,0.09969325153374234,0.06951871657754007,1.0,0.07745398773006132,0.5347593582887701,0.04447852760736198,0.9304812834224601,0.0,0.15142081231422383,0.9553220220907767,0.4995028421824182
svg/g/path_4,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.2346625766871165,0.27914110429447847,0.08021390374331552,1.0,0.2569018404907975,0.5401069518716579,0.04447852760736202,0.9197860962566846,0.0,0.15117024299120999,0.7656021900963461,0.0
svg/g/path_3,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.4156441717791411,0.460122699386503,0.09625668449197852,1.0,0.4378834355828221,0.5481283422459894,0.044478527607361935,0.9037433155080218,0.0,0.1507896591993252,0.5721945796027045,0.22136874687620997
svg/g/path_2,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.5950920245398773,0.6395705521472392,0.04812834224598926,1.0,0.6173312883435583,0.5240641711229947,0.04447852760736202,0.9518716577540108,0.0,0.15191460504267043,0.3814218847760884,0.4020176549290575
svg/g/path_1,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.7760736196319018,0.8205521472392638,0.1283422459893048,1.0,0.7983128834355828,0.5641711229946526,0.04447852760736202,0.8716577540106953,0.0,0.1500108189467925,0.18458560926562884,0.2931356651424203
svg/g/path,0.75,0.7071067811865476,0.2694537492753373,0.05632396247171412,0.5042735042735044,0.5411764705882354,0.4042218982721634,0.35986950132065004,0.18572136253895327,0.3,0.15,0.0,1.0,0.2999999535999938,0.11228523334351681,0.16029022025678266,0.3,0.9555214723926382,1.0,0.11229946524064166,1.0,0.9777607361963192,0.5561497326203211,0.04447852760736185,0.8877005347593585,0.0,0.15040324499216298,0.0,0.6877702371212022
